version,download_count
3.9.0,3650146
2.15.0,1057403
2.13.1,907281
2.11.0,815667
2.12.0,813414
2.10.0,611584
2.14.0,548016
2.9.0,428529
2.3.1,359565
3.8.0,280624
2.8.0,224890
2.2.4,121892
3.7.0,114763
2.7.0,113396
2.6.0,102730
2.0.8,84590
2.4.3,76368
3.5.0,64728
3.4.1,61677
3.6.0,48419
3.3.3,25225
2.1.4,18788
3.0.5,7652
3.3.2,7520
2.2.5,6629
3.2.1,5491
3.1.1,4868
2.1.6,4144
2.3.0,4133
3.9.1,4079
3.0.0,4051
2.2.2,3681
2.4.0,3634
2.1.5,3620
2.2.0,3381
2.13.1rc0,3269
2.1.3,3180
2.4.1,3155
2.1.2,2959
3.4.0,2870
2.4.2,2700
3.2.0,2637
1.2.2,2274
2.1.1,2261
2.2.3,2202
2.2.1,2178
2.0.9,2130
2.1.0,2100
3.0.4,1917
2.0.7,1831
3.1.0,1673
3.3.0,1175
2.12.0rc1,1148
2.12.0rc0,1115
3.3.1,1094
3.0.2,1041
2.5.0rc0,849
3.0.1,726
3.0.3,678
2.0.0,456
2.8.0rc1,417
2.0.2,401
2.0.5,398
2.6.0rc3,370
2.0.6,363
2.0.4,255
2.9.0rc0,203
2.8.0rc0,182
1.1.0,171
2.10.0rc1,158
2.0.3,156
0.2.0,145
1.2.0,138
1.1.2,135
1.0.3,119
2.15.0rc1,118
1.2.1,117
2.9.0rc2,116
2.14.0rc0,113
2.11.0rc3,112
1.0.8,97
2.0.1,97
0.3.2,94
0.3.0,91
0.3.3,89
1.0.7,83
0.3.1,74
1.1.1,73
1.0.2,70
2.9.0rc1,68
1.0.1,68
2.15.0rc0,65
2.13.1rc1,58
1.0.0,57
1.0.4,53
1.0.5,51
2.7.0rc0,51
2.11.0rc0,45
1.0.6,44
2.10.0rc0,42
2.6.0rc0,37
2.11.0rc1,36
2.6.0rc1,35
2.7.0rc2,34
2.11.0rc2,33
2.6.0rc2,25